H3K4me3	H3K4me1	H3K36me3	H3K9me3	H3K27me3
chr22_28183800_28188000	0.00601391702694	-0.00883937488516	-0.0153433760705	0.0113247886468	0.991070216756
chr17_6842800_6844200	1.02325458968	0.528678659574	0.00794439686992	-0.00582589952308	0.0103161747629
chr4_122716400_122717400	-0.00632690727807	0.934359735953	-0.0191445717342	0.0373164139399	0.0144706991838
chr3_33079800_33083200	-0.0390082416386	0.0414451835078	0.491769011377	-0.0121961767555	0.00394344040209
chr16_31472600_31478200	0.00514406394763	-0.0628305161498	0.503931298173	-0.0185458271378	-0.0186876682933
chr7_103006400_103010000	0.0114601683832	-0.0202905143137	1.00119791703	-0.00345657561861	0.00331839004812
chr1_165467200_165495800	0.0145129970907	-0.0107129287912	-0.0200951689602	-0.015782151486	0.445620935514
chr1_27884400_27887400	0.021302727257	1.02217914965	1.0225725571	0.00440720989454	-0.00989948202715
chr4_2789200_2789600	0.00243973752802	0.990387196351	-0.0220903115828	-0.00621369859836	-0.0185949872399
chr7_120698000_120699600	0.452430232389	-0.00993088928694	1.01123640635	1.02556997602	0.0177084926261
chr2_205411200_205425600	-0.0301630637777	-0.0207124660145	0.0151502684991	0.00887359383489	0.0130858657403
chr1_228092600_228093000	0.0236931924718	-0.0269951796361	0.0216908751631	0.0208466658741	0.507421442623
chr3_57769800_57770600	-0.0220845282168	0.983731732503	0.0096125733179	0.01340930696	0.0137219693325
chr1_26161000_26161400	-0.00157391258623	-0.0283816545888	0.992334580038	0.0186969384635	0.022657580349
chr12_56652400_56653000	1.00463662161	0.999305300479	-0.0187177559016	0.00062272845185	0.0417412989578
chr5_134379200_134379600	-0.0322178441191	1.03324595774	0.0222660432686	0.017861358272	0.0151718809656
chr3_21573200_21573600	1.01762450233	0.483077755465	0.030708397688	-0.0183408823967	0.00227418687678
chr1_155656200_155656600	0.995596590471	0.961844459654	-0.0328972180591	-0.048118650567	-0.00181178322304
chr8_23351200_23351600	0.97903543838	1.00693437387	-0.0157724571799	-0.0536943519253	0.0248514192892
chr4_155346600_155361000	-0.00558713593893	0.0183431121743	-0.0240922710415	0.00910794324522	0.00189503292876
chr3_133563200_133567200	-0.00748153454354	0.0154122171377	0.486510326836	-0.0190044142442	-0.0239399784224
chr3_105933000_105933200	-0.00840331039129	1.02418991801	0.0191176102837	0.00475064891915	0.0121796253495
chr3_171556200_171556600	-0.0331855466145	1.03007545302	-0.0114342179573	0.0253460520721	-0.025665423023
chr12_110313000_110313200	0.00312346146496	0.0142526758289	-0.00659145770426	0.0233036321925	0.482169248731
chr9_134716400_134720800	0.0054835978244	0.0199026973274	0.0276113713481	-0.018908385304	0.994181624928
chr18_9384600_9385000	0.0196174545096	0.00780800427375	0.500559119872	-0.0235493412252	0.0117948975152
chr17_35084800_35085400	0.983141491731	1.00251510251	0.029438298286	0.0117524400412	0.00534491228687
chr11_74114800_74115200	-0.0123783897003	0.998439987442	-0.0149869428869	0.0399931200197	-0.0209757034152
chr15_88152000_88152400	0.961511005469	1.03679839332	-0.00159754863228	-0.00413421263904	-0.0199512428421
chr9_130132000_130133800	-0.0185728888013	-0.00229045045535	-0.0243232790344	-0.0116114407349	1.05893776742
chr9_139801600_139803600	0.00946549519356	0.0201156789403	0.49368157403	0.0297196783563	0.00619169172394
chr9_13280200_13447800	-0.00219968790083	-0.00625415834482	0.00757316370084	0.0287683214318	-0.0151322149903
chr1_92925200_92925400	-0.00656803321785	0.992022389625	-0.015650860934	-0.0301786907744	-0.0402583854113
chr15_67871600_67872000	0.0203288107338	1.01627451233	0.0170657643758	-0.0363611729467	-0.0168727471887
chr12_68849800_68850200	-0.00510001340143	1.00716348103	-0.00379354373758	0.00859576029685	-0.00893942333743
chr17_25891600_25893000	0.00519261190979	-0.0228520729574	0.487447329136	0.0301356863515	0.0199793819006
chr12_112001800_112002000	-0.00658368557185	1.00935563693	-0.00609688554603	-0.0104064513147	-0.0149386382405
chr2_111453400_111457000	0.0507227945746	-0.00660677744037	0.519329912039	0.00100552749681	0.00263504765429
chr3_46564200_46565200	-0.00946801453585	-0.00964307188449	0.484159186101	-0.0185373828233	-0.0612740757491
chr10_67187200_67188000	0.0344736291693	0.00925170426951	0.0266373138173	0.49797623856	-0.0141357305549
chr17_38752000_38753400	0.00679213144357	-0.00292024951463	0.0248089519642	0.519803294014	0.0021007506114
chr2_220060400_220060800	-0.00606965264428	0.991796622511	-0.0287321925323	0.00460756655963	0.0262987233075
chr3_182981800_182982200	0.0104060043908	0.0083178676488	0.497602134369	-0.0281308263889	0.010613566768
chr15_40602400_40605600	0.0148881823359	-0.00770426721228	0.499916746747	-0.00278959106399	0.0511839445632
chr19_49360600_49360800	1.01743054855	1.02647647586	0.00868863349138	-0.00385724778814	-0.0302783369011
chr10_32546400_32552000	0.0133902037603	0.00604611142046	0.482999359852	-0.00575562994393	-0.040853225724
chrX_134125000_134125800	0.992514279063	0.499060534223	0.00532786061599	-0.0394497412914	-0.0279846435205
chr19_42334600_42339800	-0.00642844215096	0.0446235645026	-0.0068227329122	-0.0344656209395	0.0105195105228
chr3_186160600_186168600	-0.0340561732366	0.0104061468752	-0.00374447088571	-0.0140987844028	-0.0216513089536
chr3_5625600_5625800	0.010410892919	0.980205655044	0.0220349928682	-0.0226488203141	-0.0126348195284
chr10_127413800_127415400	0.00489990670747	-0.0191118067069	0.501487099219	0.0115835469203	0.0339247367225
chrX_27808400_27808800	-0.0154262952722	0.0418294759595	0.0116257268408	0.495933334459	-0.0127048104791
chr21_28433000_28473000	-0.0210084751191	-0.0102496381346	0.00520202332239	3.69221363253e-05	0.0210796613934
chr12_92424800_92428600	0.0110003707559	-0.0123485681636	0.482354469857	0.00372205497022	0.0207320891891
chr14_88527000_88527400	-0.0114638034318	0.999025217621	0.0322803868972	-0.00353044819553	0.0120916877691
chr3_167438400_167439000	0.00922827276108	0.0127974015165	0.513828560597	0.0169958234287	-0.0178258912301
chr6_27247400_27247600	1.00072664079	0.984013927052	-0.00712036839643	0.00374730916965	0.0369372061229
chr3_32912600_32915800	-0.0114959326266	0.0111220588675	-0.00394628093589	-0.0120777666334	0.989306472126
chr1_31629200_31629400	1.01212682404	0.992458648028	-0.0186680408531	-0.0113540333138	-0.0101900291569
chr7_77224600_77227800	-0.00983938930643	0.0238245941648	0.992554475971	-0.00173507737405	0.0249655501154
chr14_97559400_97571000	-0.00113724270111	0.00366099756854	0.00856828682124	-0.00390494324287	-0.0141970167021
chr3_140965400_140982000	-0.00623234696493	0.00316074565406	-0.00318899348912	-0.0241594686118	0.526006661879
chr18_25641600_25645000	0.0168879907425	0.00736574736592	0.0158927082471	-0.0239354192349	-0.0529261350761
chr15_43761600_43763400	-0.0116592539358	0.988130904225	0.998837012171	-0.0294737229582	-0.0045724139473
chr2_148539800_148540600	0.0158593356623	1.0066833481	-0.0158591990114	0.0214301257368	-0.0359226127569
chr11_33079000_33085200	0.0151455373087	-0.0339188436994	0.51639596414	0.00634833564022	0.00398274470826
chr11_32408000_32408400	0.991857576093	0.993455693874	1.00911684126	0.00352138079165	-0.0116161000403
chr7_120673600_120677400	0.0110925611079	1.01746015103	0.994707026731	-0.00815294684734	-0.00525612179271
chr14_101830600_101831000	-0.00787212502537	-0.0080559264375	-0.0184908326279	0.00527602272956	0.493693576848
chr5_178288200_178290200	-0.0162546581498	0.993448447865	0.999714628501	-0.0100953696425	0.0117978548132
chr11_2810000_2810600	0.0377491080632	1.02025287707	0.00209663543211	-0.013955103318	-0.00279957789732
chr7_148394200_148395400	1.03704014744	0.999396159263	0.0216506174316	0.0191612557045	-0.0103769825605
